Name,MapDate,DSCI
Alabama,20170613,6
Alabama,20170620,4
Alabama,20170627,2
Alabama,20170704,1
Alabama,20170711,0
Alabama,20170718,0
Alabama,20170725,0
Alabama,20170801,0
Alabama,20170808,0
Alabama,20170815,0
Alabama,20170822,0
Alabama,20170829,0
Alabama,20170905,0
Alabama,20170912,0
Alabama,20170919,0
Alabama,20170926,0
Alabama,20171003,6
Alabama,20171010,5
Alabama,20171017,14
Alabama,20171024,15
Alabama,20171031,14
Alabama,20171107,13
Alabama,20171114,17
Alabama,20171121,35
Alabama,20171128,78
Alabama,20171205,78
Alabama,20171212,84
Alabama,20171219,89
Alabama,20171226,78
Alabama,20180102,108
Alabama,20180109,143
Alabama,20180116,160
Alabama,20180123,196
Alabama,20180130,236
Alabama,20180206,226
Alabama,20180213,125
Alabama,20180220,88
Alabama,20180227,73
Alabama,20180306,62
Alabama,20180313,49
Alabama,20180320,51
Alabama,20180327,69
Alabama,20180403,65
Alabama,20180410,54
Alabama,20180417,26
Alabama,20180424,27
Alabama,20180501,30
Alabama,20180508,35
Alabama,20180515,47
Alabama,20180522,36
Alabama,20180529,11
Alabama,20180605,8
Alabama,20180612,7
Alabama,20180619,10
Alabama,20180626,9
Alabama,20180703,4
Alabama,20180710,3
Alabama,20180717,0
Alabama,20180724,1
Alabama,20180731,23
Alabama,20180807,9
Alabama,20180814,11
Alabama,20180821,9
Alabama,20180828,12
Alabama,20180904,22
Alabama,20180911,25
Alabama,20180918,43
Alabama,20180925,46
Alabama,20181002,13
Alabama,20181009,18
Alabama,20181016,19
Alabama,20181023,22
Alabama,20181030,12
Alabama,20181106,4
Alabama,20181113,0
Alabama,20181120,0
Alabama,20181127,0
Alabama,20181204,0
Alabama,20181211,0
Alabama,20181218,0
Alabama,20181225,0
Alabama,20190101,0
Alabama,20190108,0
Alabama,20190115,0
Alabama,20190122,0
Alabama,20190129,0
Alabama,20190205,0
Alabama,20190212,0
Alabama,20190219,0
Alabama,20190226,0
Alabama,20190305,0
Alabama,20190312,3
Alabama,20190319,4
Alabama,20190326,36
Alabama,20190402,60
Alabama,20190409,73
Alabama,20190416,61
Alabama,20190423,36
Alabama,20190430,31
Alabama,20190507,29
Alabama,20190514,13
Alabama,20190521,23
Alabama,20190528,51
Alabama,20190604,59
Alabama,20190611,46
Alabama,20190618,49
Alabama,20190625,54
Alabama,20190702,50
Alabama,20190709,59
Alabama,20190716,54
Alabama,20190723,47
Alabama,20190730,56
Alabama,20190806,48
Alabama,20190813,54
Alabama,20190820,62
Alabama,20190827,46
Alabama,20190903,34
Alabama,20190910,40
Alabama,20190917,63
Alabama,20190924,118
Alabama,20191001,151
Alabama,20191008,165
Alabama,20191015,191
Alabama,20191022,153
Alabama,20191029,119
Alabama,20191105,78
Alabama,20191112,39
Alabama,20191119,26
Alabama,20191126,23
Alabama,20191203,32
Alabama,20191210,37
Alabama,20191217,23
Alabama,20191224,0
Alabama,20191231,0
Alabama,20200107,0
Alabama,20200114,0
Alabama,20200121,5
Alabama,20200128,12
Alabama,20200204,13
Alabama,20200211,1
Alabama,20200218,1
Alabama,20200225,0
Alabama,20200303,0
Alabama,20200310,8
Alabama,20200317,8
Alabama,20200324,9
Alabama,20200331,15
Alabama,20200407,43
Alabama,20200414,30
Alabama,20200421,15
Alabama,20200428,13
Alabama,20200505,13
Alabama,20200512,29
Alabama,20200519,30
Alabama,20200526,29
Alabama,20200602,24
Alabama,20200609,11
Alabama,20200616,13
Alabama,20200623,11
Alabama,20200630,10
Alabama,20200707,1
Alabama,20200714,0
Alabama,20200721,5
Alabama,20200728,19
Alabama,20200804,22
Alabama,20200811,21
Alabama,20200818,16
Alabama,20200825,5
Alabama,20200901,2
Alabama,20200908,12
Alabama,20200915,11
Alabama,20200922,6
Alabama,20200929,2
Alabama,20201006,5
Alabama,20201013,3
Alabama,20201020,3
Alabama,20201027,2
Alabama,20201103,0
Alabama,20201110,0
Alabama,20201117,0
Alabama,20201124,17
Alabama,20201201,12
Alabama,20201208,17
Alabama,20201215,24
Alabama,20201222,24
Alabama,20201229,8
Alabama,20210105,5
Alabama,20210112,5
Alabama,20210119,23
Alabama,20210126,27
Alabama,20210202,41
Alabama,20210209,49
Alabama,20210216,42
Alabama,20210223,30
Alabama,20210302,37
Alabama,20210309,45
Alabama,20210316,50
Alabama,20210323,20
Alabama,20210330,7
Alabama,20210406,5
Alabama,20210413,2
Alabama,20210420,4
Alabama,20210427,2
Alabama,20210504,2
Alabama,20210511,0
Alabama,20210518,0
Alabama,20210525,1
Alabama,20210601,2
Alabama,20210608,0
Alabama,20210615,0
Alabama,20210622,0
Alabama,20210629,0
Alabama,20210706,0
Alabama,20210713,0
Alaska,20141230,0
Alaska,20150106,0
Alaska,20150113,0
Alaska,20150120,0
Alaska,20150127,0
Alaska,20150203,0
Alaska,20150210,0
Alaska,20150217,28
Alaska,20150224,28
Alaska,20150303,33
Alaska,20150310,30
Alaska,20150317,30
Alaska,20150324,30
Alaska,20150331,30
Alaska,20150407,30
Alaska,20150414,24
Alaska,20150421,24
Alaska,20150428,24
Alaska,20150505,24
Alaska,20150512,24
Alaska,20150519,24
Alaska,20150526,24
Alaska,20150602,34
Alaska,20150609,34
Alaska,20150616,47
Alaska,20150623,63
Alaska,20150630,67
Alaska,20150707,78
